,age,workclass,education-num,marital-status,occupation,race,sex,native-country,class
14262,1,Private,11,Divorced,Prof-specialty,White,Female,United-States,<=50K
14263,1,Private,10,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
14264,3,Private,5,Married-civ-spouse,Machine-op-inspct,White,Male,Guatemala,<=50K
14265,3,Private,7,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
14266,4,Private,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
14267,0,Private,9,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,<=50K
14268,1,Private,10,Never-married,Other-service,White,Female,United-States,<=50K
14269,1,Self-emp-not-inc,9,Divorced,Exec-managerial,White,Male,United-States,>50K
14270,0,Private,10,Never-married,Other-service,White,Male,United-States,<=50K
14271,1,Private,7,Never-married,Adm-clerical,White,Male,United-States,<=50K
14272,3,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
14273,2,State-gov,14,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Female,China,>50K
14274,0,Private,13,Never-married,Exec-managerial,White,Female,United-States,<=50K
14275,1,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
14276,1,Self-emp-not-inc,4,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
14277,2,Federal-gov,14,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
14278,2,Private,9,Never-married,Craft-repair,Black,Female,United-States,<=50K
14279,0,Private,7,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,>50K
14281,2,Private,5,Married-civ-spouse,Exec-managerial,White,Male,Mexico,<=50K
14282,2,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
14283,1,Private,10,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
14284,0,Self-emp-inc,6,Never-married,Other-service,Black,Male,United-States,<=50K
14285,3,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
14286,2,Private,9,Divorced,Adm-clerical,White,Female,United-States,<=50K
14287,3,Local-gov,6,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14288,3,Self-emp-not-inc,9,Married-civ-spouse,Transport-moving,White,Male,United-States,>50K
14289,4,Federal-gov,6,Divorced,Craft-repair,White,Male,United-States,<=50K
14290,0,Private,13,Never-married,Prof-specialty,Asian-Pac-Islander,Female,United-States,<=50K
14291,2,Private,9,Widowed,Other-service,Black,Female,United-States,<=50K
14292,4,Private,10,Never-married,Adm-clerical,Black,Female,United-States,<=50K
14293,3,Federal-gov,9,Widowed,Exec-managerial,White,Female,United-States,<=50K
14294,2,Private,14,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
14295,4,Local-gov,9,Married-civ-spouse,Other-service,White,Male,United-States,<=50K
14296,2,Private,10,Married-civ-spouse,Adm-clerical,White,Male,United-States,<=50K
14297,2,Private,13,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14298,3,Private,5,Separated,Handlers-cleaners,White,Male,United-States,<=50K
14299,2,Private,10,Married-civ-spouse,Machine-op-inspct,Asian-Pac-Islander,Male,United-States,>50K
14300,4,Self-emp-inc,13,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14301,1,Private,9,Divorced,Adm-clerical,White,Female,United-States,<=50K
14302,2,Private,15,Never-married,Exec-managerial,White,Male,United-States,>50K
14303,1,Private,10,Married-civ-spouse,Exec-managerial,White,Female,United-States,<=50K
14304,0,Private,6,Never-married,Sales,White,Female,United-States,<=50K
14305,0,Private,14,Never-married,Adm-clerical,White,Male,United-States,<=50K
14306,1,Private,10,Married-civ-spouse,Adm-clerical,White,Female,United-States,<=50K
14307,2,Private,12,Divorced,Adm-clerical,White,Female,United-States,<=50K
14308,2,Private,11,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K
14309,2,Private,9,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,<=50K
14310,1,Private,5,Never-married,Handlers-cleaners,Black,Male,United-States,<=50K
14311,1,Private,9,Married-spouse-absent,Craft-repair,White,Male,United-States,<=50K
14312,1,Private,10,Married-civ-spouse,Adm-clerical,White,Male,United-States,<=50K
14313,0,Private,11,Never-married,Other-service,White,Male,United-States,<=50K
14314,1,Private,13,Married-civ-spouse,Sales,White,Male,United-States,>50K
14315,3,Private,3,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
14316,0,Private,10,Never-married,Adm-clerical,White,Female,United-States,<=50K
14317,3,Private,10,Divorced,Sales,White,Female,United-States,<=50K
14318,1,Private,13,Never-married,Tech-support,Asian-Pac-Islander,Female,Philippines,<=50K
14319,0,Private,7,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
14320,2,Private,14,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
14321,2,Private,10,Widowed,Sales,White,Female,United-States,<=50K
14322,2,Federal-gov,9,Divorced,Craft-repair,White,Male,United-States,<=50K
14323,0,Private,11,Never-married,Craft-repair,White,Male,United-States,<=50K
14324,0,Private,9,Never-married,Transport-moving,White,Male,United-States,<=50K
14325,2,Private,13,Married-civ-spouse,Other-service,White,Male,United-States,<=50K
14326,3,Private,13,Married-civ-spouse,Exec-managerial,Black,Male,United-States,>50K
14327,4,Private,2,Married-civ-spouse,Other-service,Black,Female,United-States,<=50K
14328,2,Self-emp-not-inc,13,Divorced,Prof-specialty,White,Male,United-States,>50K
14329,4,Private,13,Divorced,Exec-managerial,White,Female,United-States,<=50K
14331,2,Private,9,Divorced,Sales,White,Female,United-States,<=50K
14332,3,Private,10,Married-civ-spouse,Tech-support,White,Male,United-States,<=50K
14333,0,Private,10,Never-married,Prof-specialty,Black,Male,United-States,<=50K
14334,4,Self-emp-not-inc,9,Never-married,Other-service,White,Female,United-States,<=50K
14335,3,Private,9,Divorced,Adm-clerical,White,Female,United-States,<=50K
14336,2,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14337,2,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
14338,0,Private,9,Never-married,Adm-clerical,Black,Male,United-States,<=50K
14339,2,Federal-gov,10,Divorced,Handlers-cleaners,Asian-Pac-Islander,Male,United-States,<=50K
14341,2,Private,9,Separated,Sales,Black,Female,United-States,<=50K
14342,2,Private,13,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
14343,4,Self-emp-inc,13,Divorced,Sales,White,Male,United-States,<=50K
14345,3,Private,10,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
14346,3,Local-gov,14,Divorced,Exec-managerial,White,Female,United-States,>50K
14347,2,Local-gov,13,Never-married,Prof-specialty,White,Female,United-States,<=50K
14349,1,Private,10,Never-married,Adm-clerical,White,Female,United-States,<=50K
14350,0,Private,10,Married-civ-spouse,Sales,White,Male,United-States,<=50K
14351,1,Federal-gov,13,Never-married,Protective-serv,White,Female,United-States,>50K
14352,2,Private,13,Married-spouse-absent,Adm-clerical,White,Female,Cuba,<=50K
14353,1,Private,9,Married-civ-spouse,Transport-moving,White,Male,United-States,>50K
14354,0,Private,9,Never-married,Other-service,White,Female,United-States,<=50K
14355,1,Private,6,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14356,3,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,Poland,>50K
14357,1,Private,13,Never-married,Farming-fishing,White,Male,United-States,<=50K
14358,1,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14359,2,Private,10,Married-civ-spouse,Sales,White,Male,United-States,<=50K
14361,4,Private,14,Married-civ-spouse,Prof-specialty,White,Female,United-States,>50K
14362,1,Self-emp-inc,9,Married-civ-spouse,Sales,White,Male,United-States,<=50K
14364,0,Private,10,Never-married,Craft-repair,White,Male,United-States,<=50K
14365,0,Private,10,Never-married,Sales,Black,Female,United-States,<=50K
14366,2,Private,15,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
14367,3,Private,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
14369,1,Private,9,Never-married,Sales,White,Male,Puerto-Rico,<=50K
14371,3,Self-emp-inc,10,Married-civ-spouse,Sales,White,Male,United-States,>50K
14372,0,Private,10,Never-married,Other-service,White,Male,United-States,<=50K
14373,0,Private,9,Never-married,Other-service,White,Male,United-States,<=50K
14374,1,Private,9,Never-married,Machine-op-inspct,Asian-Pac-Islander,Male,China,<=50K
14375,0,Federal-gov,9,Never-married,Transport-moving,White,Male,United-States,<=50K
14376,1,Self-emp-not-inc,10,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14377,0,Private,12,Never-married,Adm-clerical,White,Female,United-States,<=50K
14378,3,Local-gov,9,Never-married,Adm-clerical,White,Female,United-States,<=50K
14379,2,Self-emp-inc,14,Never-married,Prof-specialty,White,Female,United-States,<=50K
14380,0,Private,13,Never-married,Prof-specialty,White,Female,United-States,<=50K
14381,4,Self-emp-inc,9,Married-civ-spouse,Adm-clerical,White,Male,United-States,<=50K
14382,1,Self-emp-not-inc,9,Never-married,Machine-op-inspct,Black,Male,United-States,<=50K
14383,3,Private,13,Divorced,Sales,White,Female,United-States,<=50K
14384,4,Self-emp-not-inc,13,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
14385,2,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
14386,4,Local-gov,13,Never-married,Prof-specialty,White,Female,United-States,<=50K
14387,0,Federal-gov,12,Married-civ-spouse,Exec-managerial,White,Female,United-States,<=50K
14388,0,Private,9,Never-married,Other-service,White,Female,United-States,<=50K
14389,2,Private,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
14390,2,Private,11,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
14391,3,Private,9,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
14392,1,Private,9,Never-married,Transport-moving,White,Male,United-States,<=50K
14393,0,Private,9,Never-married,Priv-house-serv,Other,Female,Guatemala,<=50K
14394,2,Local-gov,14,Never-married,Exec-managerial,White,Female,United-States,>50K
14395,2,Local-gov,10,Never-married,Craft-repair,White,Male,United-States,<=50K
14396,2,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,White,Male,Japan,>50K
14397,3,Self-emp-inc,9,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K
14399,4,Self-emp-not-inc,13,Never-married,Exec-managerial,White,Female,United-States,<=50K
14400,3,Federal-gov,9,Married-civ-spouse,Adm-clerical,White,Female,United-States,>50K
14401,2,Self-emp-not-inc,9,Divorced,Exec-managerial,Asian-Pac-Islander,Female,South,>50K
14402,0,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14403,2,Private,13,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,>50K
14404,1,Private,7,Never-married,Machine-op-inspct,Black,Male,United-States,<=50K
14405,3,Private,9,Divorced,Other-service,White,Male,United-States,<=50K
14406,2,Private,13,Married-civ-spouse,Tech-support,White,Male,United-States,>50K
14407,2,Local-gov,9,Never-married,Other-service,White,Male,United-States,<=50K
14408,0,Private,11,Never-married,Craft-repair,White,Male,United-States,<=50K
14409,1,Private,13,Never-married,Prof-specialty,White,Female,United-States,<=50K
14411,0,Private,10,Never-married,Adm-clerical,White,Male,England,<=50K
14412,4,Private,9,Married-civ-spouse,Prof-specialty,White,Male,Italy,>50K
14413,1,Private,9,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
14414,1,Private,9,Never-married,Machine-op-inspct,Black,Male,United-States,<=50K
14415,4,Private,14,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
14416,0,Private,6,Never-married,Handlers-cleaners,White,Female,United-States,<=50K
14417,0,Private,13,Never-married,Prof-specialty,White,Male,United-States,<=50K
14419,1,Private,11,Married-civ-spouse,Machine-op-inspct,White,Male,Columbia,<=50K
14420,3,State-gov,16,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
14421,4,Private,9,Married-civ-spouse,Sales,White,Male,United-States,<=50K
14422,2,Private,9,Never-married,Craft-repair,White,Male,United-States,<=50K
14423,1,Private,9,Never-married,Other-service,White,Male,United-States,<=50K
14424,1,Private,9,Married-civ-spouse,Machine-op-inspct,Black,Male,United-States,<=50K
14425,0,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14426,4,Private,6,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
14427,2,State-gov,9,Divorced,Protective-serv,White,Male,United-States,>50K
14428,1,Private,13,Never-married,Tech-support,White,Female,United-States,<=50K
14429,3,Private,8,Divorced,Transport-moving,White,Male,United-States,<=50K
14431,1,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14432,0,Private,10,Never-married,Craft-repair,White,Male,United-States,<=50K
14433,1,Private,11,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,>50K
14434,1,Private,9,Married-civ-spouse,Other-service,White,Male,United-States,<=50K
14435,2,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
14436,0,Private,13,Never-married,Adm-clerical,White,Male,Columbia,<=50K
14437,2,Private,11,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14438,2,Self-emp-not-inc,9,Never-married,Craft-repair,White,Male,United-States,>50K
14439,1,Private,7,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
14440,1,Private,5,Never-married,Sales,White,Male,United-States,>50K
14442,1,Private,10,Married-civ-spouse,Adm-clerical,Amer-Indian-Eskimo,Female,United-States,<=50K
14443,1,State-gov,10,Married-civ-spouse,Protective-serv,White,Male,United-States,<=50K
14444,0,Private,9,Never-married,Tech-support,White,Male,United-States,<=50K
14445,1,Private,13,Married-civ-spouse,Tech-support,White,Male,England,<=50K
14446,2,Local-gov,9,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
14447,2,Self-emp-inc,14,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14448,0,Private,9,Never-married,Other-service,Black,Female,United-States,<=50K
14449,0,Private,10,Divorced,Exec-managerial,White,Female,United-States,<=50K
14450,0,Private,9,Never-married,Adm-clerical,White,Female,United-States,<=50K
14451,0,Self-emp-not-inc,10,Never-married,Transport-moving,White,Male,United-States,<=50K
14452,3,Self-emp-inc,12,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
14453,0,Private,10,Never-married,Other-service,White,Male,United-States,<=50K
14454,2,Private,7,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
14455,1,Private,10,Separated,Exec-managerial,Black,Female,United-States,<=50K
14456,0,Private,10,Never-married,Adm-clerical,White,Male,United-States,<=50K
14457,0,Private,10,Never-married,Sales,White,Male,United-States,<=50K
14458,0,Private,13,Never-married,Exec-managerial,White,Male,United-States,<=50K
14460,0,Private,13,Never-married,Sales,White,Female,United-States,<=50K
14461,0,Private,10,Never-married,Prof-specialty,White,Female,United-States,<=50K
14462,1,Private,9,Married-civ-spouse,Other-service,White,Female,Mexico,<=50K
14463,0,Private,5,Never-married,Machine-op-inspct,White,Male,Guatemala,<=50K
14464,2,Local-gov,13,Married-civ-spouse,Protective-serv,White,Male,United-States,>50K
14465,0,Private,9,Married-civ-spouse,Adm-clerical,White,Female,United-States,<=50K
14466,0,Private,13,Never-married,Sales,White,Male,United-States,<=50K
14467,2,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14468,2,Private,13,Never-married,Adm-clerical,White,Female,United-States,<=50K
14469,2,Local-gov,14,Divorced,Prof-specialty,White,Female,United-States,<=50K
14470,2,Local-gov,10,Married-civ-spouse,Tech-support,White,Male,United-States,>50K
14471,2,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
14472,1,Self-emp-not-inc,9,Never-married,Farming-fishing,White,Male,United-States,<=50K
14473,3,Local-gov,12,Never-married,Adm-clerical,Black,Male,United-States,<=50K
14474,1,Private,11,Married-civ-spouse,Prof-specialty,White,Female,United-States,>50K
14475,0,Private,7,Never-married,Sales,Black,Female,United-States,<=50K
14476,2,State-gov,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
14477,1,Local-gov,9,Married-civ-spouse,Protective-serv,White,Male,United-States,<=50K
14478,3,State-gov,16,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
14479,1,Private,9,Never-married,Sales,White,Male,United-States,<=50K
14480,4,Federal-gov,10,Married-civ-spouse,Adm-clerical,White,Female,United-States,<=50K
14481,1,Private,9,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
14482,4,Private,9,Separated,Machine-op-inspct,White,Female,United-States,<=50K
14483,2,Private,13,Separated,Craft-repair,White,Male,United-States,<=50K
14484,0,Private,9,Divorced,Sales,White,Female,United-States,<=50K
14485,1,Local-gov,3,Never-married,Other-service,Other,Female,El-Salvador,<=50K
14486,1,Private,9,Married-civ-spouse,Adm-clerical,White,Female,United-States,<=50K
14487,2,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
14488,0,Private,13,Never-married,Adm-clerical,Asian-Pac-Islander,Female,Taiwan,<=50K
14489,0,Private,11,Never-married,Tech-support,White,Male,United-States,<=50K
14490,3,Private,10,Divorced,Adm-clerical,White,Female,United-States,<=50K
14491,4,Federal-gov,10,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
14492,0,Private,9,Never-married,Prof-specialty,White,Female,United-States,<=50K
14493,1,Private,11,Divorced,Tech-support,White,Female,United-States,<=50K
14494,1,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,>50K
14495,1,Federal-gov,10,Divorced,Adm-clerical,White,Female,United-States,<=50K
14496,2,Private,6,Never-married,Craft-repair,White,Male,United-States,<=50K
14497,0,Private,9,Never-married,Exec-managerial,White,Male,United-States,<=50K
14498,4,Private,5,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14500,4,Private,9,Divorced,Craft-repair,White,Male,United-States,<=50K
14501,0,Private,9,Never-married,Sales,White,Female,United-States,<=50K
14502,1,Private,3,Never-married,Priv-house-serv,White,Female,England,<=50K
14503,2,State-gov,10,Divorced,Transport-moving,White,Male,United-States,<=50K
14504,1,Private,9,Never-married,Sales,Black,Female,United-States,<=50K
14505,3,Private,10,Widowed,Sales,White,Female,United-States,<=50K
14506,4,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K
14507,0,Private,10,Never-married,Adm-clerical,Asian-Pac-Islander,Male,Vietnam,<=50K
14508,1,Self-emp-not-inc,9,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
14509,1,Private,9,Never-married,Transport-moving,Black,Male,United-States,<=50K
14510,2,Private,9,Never-married,Other-service,Black,Female,United-States,<=50K
14511,3,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,White,Male,United-States,>50K
14512,3,Private,7,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
14513,3,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,White,Female,United-States,>50K
14514,0,Self-emp-inc,6,Never-married,Craft-repair,White,Male,United-States,<=50K
14515,0,Private,7,Married-spouse-absent,Handlers-cleaners,White,Female,Mexico,<=50K
14516,0,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14517,2,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14518,4,Private,10,Separated,Sales,White,Male,United-States,>50K
14519,2,Private,14,Never-married,Prof-specialty,White,Male,United-States,<=50K
14520,0,Private,5,Never-married,Machine-op-inspct,White,Male,Mexico,<=50K
14521,1,Private,14,Never-married,Exec-managerial,White,Female,United-States,<=50K
14522,2,Private,11,Never-married,Farming-fishing,White,Male,United-States,<=50K
14523,2,Private,13,Married-civ-spouse,Sales,White,Male,United-States,>50K
14524,0,Private,9,Never-married,Adm-clerical,White,Female,United-States,<=50K
14525,1,Local-gov,9,Never-married,Other-service,White,Male,United-States,<=50K
14526,3,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
14527,3,Private,12,Married-civ-spouse,Sales,White,Male,United-States,<=50K
14528,4,Private,7,Widowed,Sales,White,Female,United-States,<=50K
14529,4,Self-emp-inc,13,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
14530,3,Private,9,Never-married,Other-service,Black,Female,Haiti,<=50K
14531,3,Private,4,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,China,<=50K
14532,1,Private,6,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,<=50K
14533,1,Local-gov,10,Married-civ-spouse,Protective-serv,White,Male,United-States,>50K
14537,1,Self-emp-inc,10,Married-civ-spouse,Sales,White,Male,United-States,<=50K
14538,1,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K
14539,1,Local-gov,10,Married-civ-spouse,Protective-serv,White,Male,United-States,>50K
14540,4,Private,9,Widowed,Other-service,White,Female,United-States,<=50K
14542,3,Federal-gov,10,Married-civ-spouse,Adm-clerical,White,Male,United-States,<=50K
14543,2,Private,9,Divorced,Craft-repair,White,Male,Japan,<=50K
14544,0,Private,5,Never-married,Craft-repair,White,Female,United-States,<=50K
14545,2,Local-gov,3,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico,<=50K
14546,2,Local-gov,14,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
14547,2,Self-emp-not-inc,9,Never-married,Sales,White,Female,United-States,<=50K
14549,3,Private,6,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
14550,3,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
14551,0,Private,13,Never-married,Exec-managerial,White,Female,United-States,<=50K
14552,4,Private,14,Never-married,Sales,White,Male,United-States,<=50K
14553,2,Self-emp-not-inc,7,Divorced,Prof-specialty,Black,Female,United-States,<=50K
14554,4,Private,13,Divorced,Sales,White,Male,United-States,>50K
14555,0,Self-emp-not-inc,7,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14556,1,Private,5,Never-married,Craft-repair,Other,Male,United-States,<=50K
14557,0,Private,10,Never-married,Sales,Asian-Pac-Islander,Male,Philippines,<=50K
14558,3,Self-emp-not-inc,16,Never-married,Prof-specialty,White,Female,United-States,>50K
14559,4,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
14560,1,Private,9,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
14561,3,Private,9,Never-married,Farming-fishing,White,Male,United-States,<=50K
14563,2,Private,12,Married-civ-spouse,Sales,White,Male,United-States,<=50K
14564,4,Private,15,Married-spouse-absent,Prof-specialty,White,Male,United-States,<=50K
14565,2,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
14566,2,Private,10,Divorced,Adm-clerical,White,Female,United-States,<=50K
14567,4,State-gov,9,Widowed,Adm-clerical,White,Female,United-States,<=50K
14568,2,Private,13,Divorced,Prof-specialty,White,Female,United-States,<=50K
14569,1,Private,9,Divorced,Adm-clerical,White,Male,United-States,<=50K
14570,4,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
14572,1,Private,13,Never-married,Sales,Asian-Pac-Islander,Male,South,<=50K
14573,4,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
14575,1,Private,10,Divorced,Exec-managerial,White,Male,United-States,<=50K
14576,0,Local-gov,13,Never-married,Exec-managerial,White,Female,United-States,<=50K
14579,3,Private,14,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
14580,4,Private,6,Widowed,Transport-moving,White,Female,United-States,<=50K
14581,1,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14583,4,Self-emp-inc,15,Never-married,Prof-specialty,White,Male,United-States,>50K
14585,0,Private,10,Never-married,Other-service,White,Male,United-States,<=50K
14586,3,Local-gov,13,Married-civ-spouse,Exec-managerial,Black,Male,United-States,>50K
14587,1,Private,10,Married-civ-spouse,Other-service,White,Female,United-States,<=50K
14588,1,State-gov,14,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
14589,2,Self-emp-not-inc,13,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K
14590,2,Private,9,Never-married,Other-service,White,Female,United-States,<=50K
14591,2,Private,10,Married-civ-spouse,Prof-specialty,Other,Female,Puerto-Rico,<=50K
14593,1,Private,13,Never-married,Exec-managerial,White,Female,United-States,<=50K
14594,3,Private,9,Married-civ-spouse,Sales,White,Male,United-States,>50K
14595,2,Private,9,Never-married,Transport-moving,White,Male,United-States,<=50K
14596,2,Self-emp-not-inc,10,Married-civ-spouse,Sales,White,Male,Mexico,>50K
14597,2,Private,13,Married-civ-spouse,Tech-support,White,Male,United-States,>50K
14598,2,Private,9,Divorced,Adm-clerical,White,Female,United-States,<=50K
14599,2,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
14600,2,Private,9,Married-civ-spouse,Other-service,Asian-Pac-Islander,Female,Philippines,<=50K
14601,1,Private,13,Never-married,Exec-managerial,White,Male,United-States,>50K
14603,2,Self-emp-not-inc,13,Married-spouse-absent,Exec-managerial,White,Male,Poland,<=50K
14604,4,Private,10,Widowed,Adm-clerical,White,Female,United-States,<=50K
14605,4,Private,7,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
14606,3,Private,10,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
14607,0,Private,10,Never-married,Other-service,White,Female,United-States,<=50K
14608,0,Private,9,Never-married,Craft-repair,White,Male,United-States,<=50K
14609,3,Federal-gov,10,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
14610,0,Private,13,Never-married,Exec-managerial,White,Female,United-States,<=50K
14611,4,State-gov,9,Married-civ-spouse,Craft-repair,Black,Male,United-States,<=50K
14612,3,Private,7,Married-civ-spouse,Other-service,White,Female,United-States,<=50K
14613,2,Federal-gov,9,Never-married,Armed-Forces,White,Male,United-States,<=50K
14614,0,Private,13,Never-married,Adm-clerical,White,Female,United-States,<=50K
14615,4,Federal-gov,13,Widowed,Adm-clerical,White,Female,United-States,<=50K
14616,0,Private,9,Never-married,Sales,White,Female,United-States,<=50K
14617,2,Private,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
14619,3,Private,9,Divorced,Adm-clerical,White,Female,United-States,<=50K
14620,4,Self-emp-not-inc,12,Married-civ-spouse,Farming-fishing,White,Female,United-States,<=50K
14621,0,Private,10,Never-married,Other-service,White,Female,United-States,<=50K
14622,1,Private,10,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
14623,1,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
14624,2,Private,13,Never-married,Prof-specialty,White,Male,United-States,>50K
14625,1,Private,9,Married-spouse-absent,Farming-fishing,White,Female,Mexico,<=50K
14626,2,Local-gov,10,Married-civ-spouse,Protective-serv,White,Male,United-States,>50K
14627,2,Private,12,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,<=50K
14628,1,State-gov,10,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
14629,4,Private,10,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
14630,0,Private,13,Never-married,Exec-managerial,White,Male,United-States,<=50K
14631,0,Private,11,Never-married,Other-service,Black,Female,United-States,<=50K
14632,0,Local-gov,11,Never-married,Adm-clerical,White,Female,United-States,<=50K
14633,1,Private,9,Married-civ-spouse,Sales,White,Female,United-States,<=50K
14634,2,Private,10,Divorced,Exec-managerial,White,Female,Mexico,<=50K
14635,1,State-gov,14,Never-married,Prof-specialty,White,Male,United-States,<=50K
14636,2,Local-gov,9,Separated,Transport-moving,White,Male,United-States,<=50K
14637,1,Local-gov,13,Never-married,Prof-specialty,White,Male,United-States,<=50K
14638,2,Private,12,Married-civ-spouse,Sales,White,Male,United-States,<=50K
